Sercotel Gran Hotel Luna de Granada,Gran Opción. Estimado huésped nos congratula que su opinión general sea positiva destacando instalaciones y nuestro buffet libre con show cooking tanto en cenas como desayunos. Siempre trabajamos para la mejora continua y tenemos en cuenta las opiniones de nuestros clientes. Esperamos poder volver a verlo en una futura ocasión. Atentamente Juan Manuel López Dirección Sercotel Gran Hotel Luna de Granada,bad
Sercotel Gran Hotel Luna de Granada,12 MAYO 2018-Tres amigas. Estimadas huéspedes leer su reseña nos halaga y motiva puesto que nuestra vocación de servicio es total. Estamos para hacer sentir a todos los clientes como en su casa intentando solventar (en la medida de nuestras posibilidades) cualquier aspecto que nos planteen. En nombre de todo el equipo le queremos agradecer que exprese en este foro la satisfacción con su experiencia y esperamos volver a verlas. Atentamente Juan M. López Dirección Sercotel Gran Hotel Luna de Granada,bad
Sercotel Gran Hotel Luna de Granada,hotel lindo alejado. Estimada huésped nos quedamos algo apenados con la opinión que se lleva de nosotros. Si coincidió con una altísima ocupación en un momento concreto de entradas o salidas de veras que lamentamos no haber cubierto sus expectativas. El hotel aunque muy grande está dimensionado en personal comedores y dotación de servicios en concordancia a su tamaño. Esperamos que nos ofrezca una futura oportunidad para que podamos demostrarle que nuestra atención y servicios son de calidad como así atestiguan muchos otros clientes que ya nos han visitado. Atentamente Juan Manuel López Dirección Sercotel Gran Hotel Luna de Granada,bad
Sercotel Gran Hotel Luna de Granada,Estancia corta pero con todas las comodidades. Estimado huésped darle las gracias por compartir en este foro su positiva valoración y comentarios sobre nuestro personal e instalaciones. Sentimos no haber cubierto sus expectativas en lo referente al servicio de cenas. Es posible que cuando usted estuviera coincidiera una gran cantidad de clientes pero vamos abriendo áreas de restaurante y líneas adicionales de buffet en función del número total de cenas. Además tenemos un show cooking en el que se ofrecen una serie de productos para cocinar sobre la marcha (carnes pescados y verduras) que no están en las propias mesas frías y calientes de los buffets.,bad
abba Granada Hotel,Le sobra una estrella. Estimada Laura,bad
Hotel Boutique Párraga Siete,Acogedor. Hotel acogedorlimpiocon wificentro de Granada esta en una calle peatonal cerca de todo.parkin 20.50€ yo aparqué cerca al lado de parque 4 días sin coger el coche.hay peligro de pasar por calles restringidas. Con cámaras y la foto cuesta 80 € para arriba mejor evitar coger cocheni siquiera puedes pisar el carril bus pues foto.mas ingresos para ayuntamiento,good
Hotel Boutique Párraga Siete,Satisfecho. Hotel limpio nuevo personal amable situado en pleno centro de granada. Posibilidad de parking (2050 €) el hotel está en zona de acceso restringido pero les das la matrícula y te quitan la multa.,good
Hotel Inglaterra,Recomendable. Está ubicado en el pleno centro de Granada: no es caro para nada tenía calefacción en invierno que es muy importante que en Granada hace frio en invierno. Muy limpio. Pues para pasar unos días en Granada es lo mejor.,good
Hotel Inglaterra,Agradable. Buen hotel en pleno centro de Granada junto a la catedral y la zona de bares pero muy bien insonorizado pues no se oía nada del ruido de la calle. El desayuno era fantástico y la señora que servía en la sala era encantadora y muy amable. El día de Reyes nos alegraron con un buen roscón que agradecimos todos los de la tierra. El baño era inmenso y la habitación muy correcta. Nos reservaron ellos el acceso a la Alhambra. Altamente recomendable.,good
Hotel Inglaterra,Muy recomendable hotel en el centro de Granada. No vengas en auto.seria imposible .el hotel lindo limpio bien atendido en pleno centro cerca de todo. No busques nada mejor .si  viajas por placer  solo compartes con el hotel la ducha y la cama. Ojo el agua caliente como en casi todos los hoteles de EspañA .se acaba pronto y debes esperar a que caliente el termo individual. ,good
Senator Granada Spa Hotel,NUESTRA SEGUNDA CASA. Estimada Huésped,good
Senator Granada Spa Hotel,Me encanta . Estimado Huésped,good
Senator Granada Spa Hotel,Volvemos fascinados. Estimado Huésped,good
Los Tilos,Ubicación perfecta. Hotel situado en el centro de Granada en una ubicación perfecta para recorrer a pie toda la ciudad. El autobús del aeropuerto para a 5 minutos por lo que resulta muy cómodo llegar. La habitaciones sin grandes lujos pero limpísimas y acogedoras. El desayuno muy variado. Unas vistas extraordinarias desde la terraza del hotel en la cuarta planta y un personal que te hace sentir como en casa. La verdad es que me sorprenden las opiniones en las que se critica la atención y las formas de los trabajadores del hotel pues mi experiencia en ese aspecto ha sido sobresaliente. Han sido muy resolutivos y atentos con cada problema o duda que pudiéramos tener. En resumen lo recomendaría totalmente y espero repetir yo misma en este alojamiento en el futuro.,good
